category	topic	term
Dementia Care and Impact of Disease	"Identifying, Assessing and Improving Care and Quality of Life for Persons with Dementia"	Other
Dementia Care and Impact of Disease	"Identifying, Assessing and Improving Quality of Life and Care provided by Family or Informal Caregivers"	"Caregiver assessments (assessing the psychological and physical health of caregiver health, quality of life, and support needs)"
Dementia Care and Impact of Disease	"Identifying, Assessing and Improving Quality of Life and Care provided by Family or Informal Caregivers"	"Caregiver tools, training and education (interventions for improving caregiver mastery and skills)"
Dementia Care and Impact of Disease	"Identifying, Assessing and Improving Quality of Life and Care provided by Family or Informal Caregivers"	Intervention design for improving caregiver health and well-being (focus on family caregiver)
Dementia Care and Impact of Disease	"Identifying, Assessing and Improving Quality of Life and Care provided by Family or Informal Caregivers"	Intervention design for improving surrogate communication and decision making
Dementia Care and Impact of Disease	"Identifying, Assessing and Improving Quality of Life and Care provided by Family or Informal Caregivers"	Couple-based and family-based interventions
Dementia Care and Impact of Disease	"Identifying, Assessing and Improving Quality of Life and Care provided by Family or Informal Caregivers"	Long term care services and supports (i.e. adult day center and in-home respite care; impact on on family / family caregiver)
Dementia Care and Impact of Disease	"Identifying, Assessing and Improving Quality of Life and Care provided by Family or Informal Caregivers"	Care coordination
Dementia Care and Impact of Disease	"Identifying, Assessing and Improving Quality of Life and Care provided by Family or Informal Caregivers"	Other
Dementia Care and Impact of Disease	Environmental Modifications and Technology Assisted Monitoring and Care	Personal device assisted care/wearables
Dementia Care and Impact of Disease	Environmental Modifications and Technology Assisted Monitoring and Care	Remote monitoring tools/sensors
Dementia Care and Impact of Disease	Environmental Modifications and Technology Assisted Monitoring and Care	Robotic-assisted care
Dementia Care and Impact of Disease	Environmental Modifications and Technology Assisted Monitoring and Care	Environmental modifications
Dementia Care and Impact of Disease	Environmental Modifications and Technology Assisted Monitoring and Care	TV/Video assisted care
Dementia Care and Impact of Disease	Environmental Modifications and Technology Assisted Monitoring and Care	Other technology assisted care
Dementia Care and Impact of Disease	"Health Disparities [Assess Inequality/equity (e.g., access and quality of care)]"	
Dementia Care and Impact of Disease	Socioeconomic Impact of Dementia	Family-based economic impact
Dementia Care and Impact of Disease	Socioeconomic Impact of Dementia	Societal-based economic impact
Dementia Care and Impact of Disease	Socioeconomic Impact of Dementia	Caregiving / Workforce Shortage
Dementia Care and Impact of Disease	Other	
Research Resources	Alzheimer’s Disease Centers	
Research Resources	"Other Types of Cores or Centers (e.g., P01s, U01s, etc..)"	
Research Resources	Professional and Career Development	Faculty Recruitment
Research Resources	Professional and Career Development	Fellowships
Research Resources	Professional and Career Development	"Career Development (Ks, Travel Grants)"
Research Resources	Professional and Career Development	"Training Grants (e.g., T32)"
Research Resources	Professional and Career Development	Conferences/Workshops/Symposia
Research Resources	"Repositories, Bioinformatics and Resources"	Biobanks
Research Resources	"Repositories, Bioinformatics and Resources"	Data Repositories
Research Resources	"Repositories, Bioinformatics and Resources"	Bioinformatics
Research Resources	"Infrastructure (including equipment, construction, technology, etc..)"	
Research Resources	Disease Models	Invertebrates
Research Resources	Disease Models	Vertebrates
Research Resources	Disease Models	Rodents
Research Resources	Disease Models	Higher Mammals
Research Resources	Disease Models	iPS Cells
Research Resources	Other	
Consortia and Public Private Partnerships ​​	Consortia	
Consortia and Public Private Partnerships ​​	Public Private Partnership	
Brain Aging and Common Mechanisms Related to Dementias	Brain Aging	Basic Research
Brain Aging and Common Mechanisms Related to Dementias	Brain Aging	Translational Research
Brain Aging and Common Mechanisms Related to Dementias	Brain Aging	Clinical Research and Epidemiology
Brain Aging and Common Mechanisms Related to Dementias	Common Mechanisms Related to Dementias	Basic Research
Brain Aging and Common Mechanisms Related to Dementias	Common Mechanisms Related to Dementias	Translational Research
Brain Aging and Common Mechanisms Related to Dementias	Common Mechanisms Related to Dementias	Clinical Research and Epidemiology
